oPassCmp,oPassAtt,oPassPct,oPassYds,oPassTd,oRushAtt,oRushYds,oRushAvg,oRushTd,oTltOffPlays,oTltOffYds,oTltOffAvg,oFdPass,oFdRush,oFdPen,oFdTot,oPenNo,oPenYds,oTurnFum,oTurnInt,oTurnTotal,,dPassCmp,dPassAtt,dPassPct,dPassYds,dPassTd,dRushAtt,dRushYds,dRushAvg,dRushTd,dTltOffPlays,dTltOffYds,dTltOffAvg,dFdPass,dFdRush,dFdPen,dFdTot,dPenNo,dPenYds,dTurnFum,dTurnInt,dTurnTotal
21,36,58.3,230,1,43,204,4.7,5,79,434,5.5,11,10,3,24,2,10,0,0,0,,26,39,66.7,292,2,37,159,4.3,2,76,451,5.9,13,8,1,22,9,100,0,1,1
15,31,48.4,179,3,33,211,6.4,3,64,390,6.1,8,10,5,23,4,45,2,0,2,,9,18,50,55,0,52,245,4.7,1,70,300,4.3,1,13,1,15,14,116,2,1,3
14,25,56,346,3,45,297,6.6,6,70,643,9.2,9,14,3,26,9,85,0,1,1,,21,40,52.5,180,1,37,41,1.1,0,77,221,2.9,8,7,3,18,10,83,0,0,0
13,20,65,204,3,51,387,7.6,6,71,591,8.3,7,20,4,31,8,72,1,1,2,,18,31,58.1,166,2,45,245,5.4,1,76,411,5.4,11,12,3,26,7,81,0,2,2
16,32,50,286,2,44,206,4.7,1,76,492,6.5,9,9,4,22,7,64,1,0,1,,22,39,56.4,270,3,37,119,3.2,1,76,389,5.1,11,8,2,21,10,105,0,1,1
19,32,59.4,192,1,32,205,6.4,1,64,397,6.2,9,5,0,14,6,41,1,0,1,,25,53,47.2,295,2,36,123,3.4,1,89,418,4.7,17,5,3,25,3,20,0,1,1
20,37,54.1,243,1,36,174,4.8,3,73,417,5.7,12,8,0,20,3,40,1,1,2,,35,55,63.6,330,1,45,224,5,3,100,554,5.5,17,13,2,32,7,55,2,1,3
13,29,44.8,194,1,35,118,3.4,2,64,312,4.9,10,6,0,16,6,47,1,1,2,,19,50,38,215,1,38,135,3.6,0,88,350,4,13,8,2,23,6,25,0,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,31,67.7,322,2,34,247,7.3,4,65,569,8.8,14,7,3,24,5,45,0,1,1,,14,29,48.3,86,0,34,73,2.1,0,63,159,2.5,7,4,1,12,9,84,0,1,1
15,28,53.6,164,3,24,148,6.2,1,52,312,6,7,6,1,14,1,15,0,1,1,,24,41,58.5,187,0,45,155,3.4,1,86,342,4,11,12,1,24,6,55,1,2,3
21,29,72.4,360,5,24,166,6.9,3,53,526,9.9,11,8,0,19,5,45,0,0,0,,18,32,56.3,170,0,49,150,3.1,0,81,320,4,9,10,2,21,3,25,2,3,5
31,48,64.6,284,1,51,295,5.8,1,99,579,5.8,14,15,0,29,8,90,1,1,2,,13,22,59.1,191,2,23,82,3.6,1,45,273,6.1,6,3,2,11,3,25,1,0,1
24,37,64.9,331,3,37,39,1.1,1,74,370,5,15,4,1,20,2,7,0,1,1,,15,32,46.9,175,1,47,177,3.8,1,79,352,4.5,8,10,1,19,2,20,3,1,4
29,41,70.7,286,1,38,95,2.5,3,79,381,4.8,14,6,3,23,3,30,0,0,0,,23,43,53.5,198,0,30,67,2.2,1,73,265,3.6,9,6,0,15,8,74,1,2,3
17,26,65.4,282,1,35,224,6.4,5,61,506,8.3,12,10,3,25,1,10,0,1,1,,16,28,57.1,166,0,42,103,2.5,2,70,269,3.8,8,8,0,16,6,59,1,0,1
